Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1,filename,year,Domestic %,Foreign %
1,Avengers: Endgame,2797501328,858373000,30.7%,1939128328,69.3%,2019.csv,2019,0.30683560054417247,0.6931643994558275
2,Avatar,2743577587,749766139,27.3%,1993811448,72.7%,2009.csv,2009,0.27328045780540194,0.726719542194598
3,Star Wars: Episode VII - The Force Awakens,2068223624,936662225,45.3%,1131561399,54.7%,2015.csv,2015,0.4528824707980417,0.5471175292019583
4,Avengers: Infinity War,2048359754,678815482,33.1%,1369544272,66.9%,2018.csv,2018,0.3313946589091205,0.6686053410908794
5,Spider-Man: No Way Home,1892768346,804768346,42.5%,1088000000,57.5%,2021.csv,2021,0.4251805815015463,0.5748194184984536
6,Titanic,1843478449,600788188,32.6%,1242690261,67.4%,1997.csv,1997,0.325899219665898,0.6741007803341019
7,Jurassic World,1670400637,652270625,39%,1018130012,61%,2015.csv,2015,0.39048753368022093,0.6095124663197791
8,The Lion King,1656943394,543638043,32.8%,1113305351,67.2%,2019.csv,2019,0.32809693135479556,0.6719030686452044
9,The Avengers,1518812988,623357910,41%,895455078,59%,2012.csv,2012,0.41042440045291473,0.5895755995470853
10,Furious 7,1515047671,353007020,23.3%,1162040651,76.7%,2015.csv,2015,0.23300060239490641,0.7669993976050936
11,Frozen II,1450026933,477373578,32.9%,972653355,67.1%,2019.csv,2019,0.329217042205105,0.6707829577948949
12,Avengers: Age of Ultron,1402805868,459005868,32.7%,943800000,67.3%,2015.csv,2015,0.3272055517235689,0.6727944482764311
13,Black Panther,1346913161,700059566,52%,646853595,48%,2018.csv,2018,0.5197510769589992,0.4802489230410007
14,Harry Potter and the Deathly Hallows: Part 2,1341511219,381011219,28.4%,960500000,71.6%,2011.csv,2011,0.2840164238686102,0.7159835761313897
15,Star Wars: Episode VIII - The Last Jedi,1332539889,620181382,46.5%,712358507,53.5%,2017.csv,2017,0.465412995978239,0.5345870040217611
16,Jurassic World: Fallen Kingdom,1308467944,417719760,31.9%,890748184,68.1%,2018.csv,2018,0.3192434036427567,0.6807565963572433
17,Frozen,1280802282,400738009,31.3%,880064273,68.7%,2013.csv,2013,0.31288046143565507,0.6871195385643449
18,Beauty and the Beast,1263521126,504014165,39.9%,759506961,60.1%,2017.csv,2017,0.3988965080430321,0.6011034919569679
19,Incredibles 2,1242805359,608581744,49%,634223615,51%,2018.csv,2018,0.48968387494698595,0.510316125053014
20,The Fate of the Furious,1236005118,226008385,18.3%,1009996733,81.7%,2017.csv,2017,0.1828539232634472,0.8171460767365528
21,Iron Man 3,1214811252,409013994,33.7%,805797258,66.3%,2013.csv,2013,0.33668933616363966,0.6633106638363603
22,Minions,1159398397,336045770,29%,823352627,71%,2015.csv,2015,0.28984494964762314,0.7101550503523768
23,Captain America: Civil War,1153296293,408084349,35.4%,745211944,64.6%,2016.csv,2016,0.35384172434862754,0.6461582756513724
24,Aquaman,1148461807,335061807,29.2%,813400000,70.8%,2018.csv,2018,0.2917483236776023,0.7082516763223977
25,The Lord of the Rings: The Return of the King,1140682011,377027325,33.1%,763654686,66.9%,2003.csv,2003,0.3305279835784138,0.6694720164215863
26,Spider-Man: Far from Home,1131927996,390532085,34.5%,741395911,65.5%,2019.csv,2019,0.345014953583673,0.654985046416327
27,Captain Marvel,1128274794,426829839,37.8%,701444955,62.2%,2019.csv,2019,0.3783030882811692,0.6216969117188308
28,Transformers: Dark of the Moon,1123794079,352390543,31.4%,771403536,68.6%,2011.csv,2011,0.3135721655639725,0.6864278344360275
29,Skyfall,1108561013,304360277,27.5%,804200736,72.5%,2012.csv,2012,0.2745543758356943,0.7254456241643057
30,Transformers: Age of Extinction,1104054072,245439076,22.2%,858614996,77.8%,2014.csv,2014,0.22230711540729683,0.7776928845927031
31,The Dark Knight Rises,1081041287,448139099,41.5%,632902188,58.5%,2012.csv,2012,0.4145439257399981,0.5854560742600019
32,Joker,1074251311,335451311,31.2%,738800000,68.8%,2019.csv,2019,0.3122652097931673,0.6877347902068327
33,Star Wars: Episode IX - The Rise of Skywalker,1074144248,515202542,48%,558941706,52%,2019.csv,2019,0.4796399952420543,0.5203600047579457
34,Toy Story 4,1073394593,434038008,40.4%,639356585,59.6%,2019.csv,2019,0.4043601587249657,0.5956398412750342
35,Toy Story 3,1066969703,415004880,38.9%,651964823,61.1%,2010.csv,2010,0.3889565737744289,0.6110434262255711
36,Pirates of the Caribbean: Dead Man's Chest,1066179725,423315812,39.7%,642863913,60.3%,2006.csv,2006,0.3970398255322291,0.602960174467771
37,Rogue One: A Star Wars Story,1056057273,532177324,50.4%,523879949,49.6%,2016.csv,2016,0.5039284682810948,0.49607153171890517
38,Aladdin,1050693953,355559216,33.8%,695134737,66.2%,2019.csv,2019,0.3384041708670612,0.6615958291329388
39,Pirates of the Caribbean: On Stranger Tides,1045713802,241071802,23.1%,804642000,76.9%,2011.csv,2011,0.23053325062644625,0.7694667493735537
40,Despicable Me 3,1034799409,264624300,25.6%,770175109,74.4%,2017.csv,2017,0.2557252136969475,0.7442747863030524
41,Finding Dory,1028570889,486295561,47.3%,542275328,52.7%,2016.csv,2016,0.47278759898871686,0.5272124010112832
42,Alice in Wonderland,1025467110,334191110,32.6%,691276000,67.4%,2010.csv,2010,0.32589159295416115,0.6741084070458389
43,Zootopia,1023784195,341268248,33.3%,682515947,66.7%,2016.csv,2016,0.3333400238709487,0.6666599761290513
44,The Hobbit: An Unexpected Journey,1017003568,303003568,29.8%,714000000,70.2%,2012.csv,2012,0.29793756633113405,0.7020624336688659
45,The Dark Knight,1003045358,533345358,53.2%,469700000,46.8%,2008.csv,2008,0.5317260617839378,0.4682739382160622
46,Jurassic Park,978167947,357067947,36.5%,621100000,63.5%,1993.csv,1993,0.3650374642668597,0.6349625357331403
47,Harry Potter and the Deathly Hallows: Part 1,976536918,295983305,30.3%,680553613,69.7%,2010.csv,2010,0.30309484418283916,0.6969051558171608
48,Harry Potter and the Sorcerer's Stone,974755371,317575550,32.6%,657179821,67.4%,2001.csv,2001,0.32580025660612644,0.6741997433938736
49,Despicable Me 2,970766005,368065385,37.9%,602700620,62.1%,2013.csv,2013,0.3791494377679614,0.6208505622320386
50,The Jungle Book,966550600,364001123,37.7%,602549477,62.3%,2016.csv,2016,0.3765981036067848,0.6234018963932152
51,Jumanji: Welcome to the Jungle,962077546,404515480,42%,557562066,58%,2017.csv,2017,0.42046036900231326,0.5795396309976868
52,Pirates of the Caribbean: At World's End,960996492,309420425,32.2%,651576067,67.8%,2007.csv,2007,0.32197872476729084,0.6780212752327092
53,The Hobbit: The Desolation of Smaug,958366855,258366855,27%,700000000,73%,2013.csv,2013,0.2695907664711547,0.7304092335288452
54,The Hobbit: The Battle of the Five Armies,956019788,255119788,26.7%,700900000,73.3%,2014.csv,2014,0.26685617934092387,0.7331438206590761
55,Harry Potter and the Order of the Phoenix,941676843,292004738,31%,649672105,69%,2007.csv,2007,0.31009017602018274,0.6899098239798173
56,The Lord of the Rings: The Two Towers,936689735,339789881,36.3%,596899854,63.7%,2002.csv,2002,0.36275606351125433,0.6372439364887457
57,Harry Potter and the Half-Blood Prince,933959197,301959197,32.3%,632000000,67.7%,2009.csv,2009,0.32331090905248616,0.6766890909475138
58,Shrek 2,928760770,441226247,47.5%,487534523,52.5%,2004.csv,2004,0.47506985787093486,0.5249301421290652
59,Star Wars: Episode I - The Phantom Menace,924305084,431088295,46.6%,493216789,53.4%,1999.csv,1999,0.4663917817420552,0.5336082182579448
60,Doctor Strange in the Multiverse of Madness,910239505,388633292,42.7%,521606213,57.3%,2022.csv,2022,0.42695717980291353,0.5730428201970865
61,Bohemian Rhapsody,903655259,216428042,24%,687227217,76%,2018.csv,2018,0.23950288546929155,0.7604971145307085
62,The Battle at Lake Changjin,902540935,342411,<0.1%,902198524,100%,2021.csv,2021,0.00037938556216289516,0.9996206144378371
63,Harry Potter and the Goblet of Fire,895921036,290013036,32.4%,605908000,67.6%,2005.csv,2005,0.3237037912345659,0.6762962087654341
64,Spider-Man 3,894983373,336530303,37.6%,558453070,62.4%,2007.csv,2007,0.3760184972732449,0.6239815027267551
65,Ice Age 3: Dawn of the Dinosaurs,886686817,196573705,22.2%,690113112,77.8%,2009.csv,2009,0.22169462907442775,0.7783053709255723
66,The Lord of the Rings: The Fellowship of the Ring,880839846,313364114,35.6%,567475732,64.4%,2001.csv,2001,0.35575606101724877,0.6442439389827512
67,Spectre,880674609,200074609,22.7%,680600000,77.3%,2015.csv,2015,0.22718335121207064,0.7728166487879293
68,Spider-Man: Homecoming,880166924,334201140,38%,545965784,62%,2017.csv,2017,0.37970199843592395,0.620298001564076
69,Harry Potter and the Chamber of Secrets,878979634,261988482,29.8%,616991152,70.2%,2002.csv,2002,0.2980597864455185,0.7019402135544816
70,Ice Age 4: Continental Drift,877244782,161321843,18.4%,715922939,81.6%,2012.csv,2012,0.18389604168657225,0.8161039583134277
71,The Secret Life of Pets,875457937,368384330,42.1%,507073607,57.9%,2016.csv,2016,0.42079043941548044,0.5792095605845196
72,Batman v Superman: Dawn of Justice,873634919,330360194,37.8%,543274725,62.2%,2016.csv,2016,0.3781444477724682,0.6218555522275317
73,Finding Nemo,871014978,339714978,39%,531300000,61%,2003.csv,2003,0.3900219704373442,0.6099780295626558
74,Wolf Warrior 2,870325439,2721100,0.3%,867604339,99.7%,2017.csv,2017,0.003126531614572282,0.9968734683854277
75,Star Wars: Episode III - Revenge of the Sith,868352530,380270577,43.8%,488081953,56.2%,2005.csv,2005,0.437921885250913,0.562078114749087
76,The Hunger Games: Catching Fire,865011746,424668047,49.1%,440343699,50.9%,2013.csv,2013,0.490939052520103,0.5090609474798969
77,Guardians of the Galaxy Vol. 2,863756051,389813101,45.1%,473942950,54.9%,2017.csv,2017,0.4512999944240043,0.5487000055759956
78,The Lion King,858555561,312855561,36.4%,545700000,63.6%,1994.csv,1994,0.3643975710035614,0.6356024289964386
79,Inside Out,857611174,356461711,41.6%,501149463,58.4%,2015.csv,2015,0.4156449004009829,0.5843550995990171
80,Venom,856085151,213515506,24.9%,642569645,75.1%,2018.csv,2018,0.24940919224050412,0.7505908077594958
81,Thor: Ragnarok,853977126,315058289,36.9%,538918837,63.1%,2017.csv,2017,0.36893059475225337,0.6310694052477467
82,Transformers: Revenge of the Fallen,836303693,402111870,48.1%,434191823,51.9%,2009.csv,2009,0.4808203925986968,0.5191796074013032
83,The Twilight Saga: Breaking Dawn - Part 2,829746820,292324737,35.2%,537422083,64.8%,2012.csv,2012,0.35230594436023266,0.6476940556397673
84,Inception,826137188,292576195,35.4%,533560993,64.6%,2010.csv,2010,0.3541496488111125,0.6458503511888876
85,"Hi, Mom",822009764,0,-,822009764,100%,2021.csv,2021,0.0,1.0
86,Wonder Woman,821847012,412563408,50.2%,409283604,49.8%,2017.csv,2017,0.501995385973369,0.49800461402663104
